state,abbrev,obamavote08,mccainvote08,obamavote12,romneyvote12,clintonvote16,trumpvote16,bidenvote20,trumpvote20,trumpvote24,Harrisvote24
Alabama,AL,813479,1266546,795696,1255925,729547,1318255,849624,1441170,1462616,772412
Alaska,AK,123594,193841,122640,164676,116454,163387,153778,189951,184458,140026
Arizona,AZ,1034707,1230111,1025232,1233654,1161167,1252401,1672143,1661686,1770242,1582860
Arkansas,AR,422310,638017,394409,647744,380494,684872,423932,760647,759241,396905
California,CA,8274473,5011781,7854285,4839958,8753792,4483814,11110639,6006518,6081697,9276179
Colorado,CO,1288633,1073629,1322998,1185050,1338870,1202484,1804352,1364607,1377441,1728159
Connecticut,CT,997772,629428,905083,634892,897572,673215,1080831,715311,736918,992053
Delaware,DE,255459,152374,242584,165484,235603,185127,296268,200603,214351,289758
District of Columbia,DC,245800,17367,267070,21381,282830,12723,317323,18586,21076,294185
Florida,FL,4282074,4045624,4237756,4163447,4504975,4617886,5297045,5668731,6110125,4683038
Georgia,GA,1844123,2048759,1773827,2078688,1877963,2089104,2473633,2461854,2663117,2548017
Hawaii,HI,325871,120566,306658,121015,266891,128847,366130,196864,193661,313044
Idaho,ID,236440,403012,212787,420911,189765,409055,287021,554119,605246,274972
Illinois,IL,3419348,2031179,3019512,2135216,3090729,2146015,3471915,2446891,2449079,3062863
Indiana,IN,1374039,1345648,1152887,1420543,1033126,1557286,1242498,1729857,1720347,1163603
Iowa,IA,828940,682379,822544,730617,653669,800983,759061,897672,927019,707278
Kansas,KS,514765,699655,440726,692634,427005,671018,570323,771406,758802,544853
Kentucky,KY,751985,1048462,679370,1087190,628854,1202971,772474,1326646,1337494,704043
Louisiana,LA,782989,1148275,809141,1152262,780154,1178638,856034,1255776,1208505,766870
Maine,ME,421923,295273,401306,292276,357735,335593,435072,360770,377977,435652
Maryland,MD,1629467,959862,1677844,971869,1677928,943169,1985023,976414,1035550,1902577
Massachusetts,MA,1904097,1108854,1921290,1188314,1995196,1090893,2382202,1167202,1251303,2126518
Michigan,MI,2872579,2048639,2564569,2115256,2268839,2279543,2804045,2649864,2816636,2736533
Minnesota,MN,1573354,1275409,1546167,1320225,1367825,1323232,1717077,1484065,1519032,1656979
Mississippi,MS,554662,724597,562949,710746,485131,700714,539398,756764,747744,466668
Missouri,MO,1441911,1445814,1223796,1482440,1071068,1594511,1253014,1718736,1751986,1200599
Montana,MT,231667,242763,201839,267928,177709,279240,244786,343602,352079,231906
Nebraska,NE,333319,452979,302081,475064,284494,495961,374583,556846,564816,369995
Nevada,NV,533736,412827,531373,463567,539260,512058,703486,669890,751205,705197
New Hampshire,NH,384826,316534,369561,329918,348526,345790,424937,365660,395523,418488
New Jersey,NJ,2215422,1613207,2122786,1478088,2148278,1601933,2608400,1883313,1968215,2220713
New Mexico,NM,472422,346832,415335,335788,385234,319667,501614,401894,423391,478802
New York,NY,4804945,2752771,4471871,2485432,4556142,2819557,5244886,3251997,3578899,4619195
North Carolina,NC,2142651,2128474,2178391,2270395,2189316,2362631,2684292,2758775,2898423,2715375
North Dakota,ND,141278,168601,124966,188320,93758,216794,114902,235595,246505,112327
Ohio,OH,2940044,2677820,2827621,2661407,2394169,2841006,2679165,3154834,3180116,2533699
Oklahoma,OK,502496,960165,443547,891325,420375,949136,503890,1020280,1036213,499599
Oregon,OR,1037291,738475,970488,754175,1002106,782403,1340383,958448,919480,1240600
Pennsylvania,PA,3276363,2655885,2990274,2680434,2926441,2970733,3461221,3379055,3543308,3423042
Rhode Island,RI,296571,165391,279677,157204,252525,180543,307486,199922,214406,285156
South Carolina,SC,862449,1034896,865941,1071645,855373,1155389,1091541,1385103,1483747,1028452
South Dakota,SD,170924,203054,145039,210610,117458,227721,150471,261043,272081,146859
Tennessee,TN,1087437,1479178,960709,1462330,870695,1522925,1143711,1852475,1966865,1056265
Texas,TX,3528633,4479328,3308124,4569843,3877868,4685047,5259126,5890347,6393597,4835250
Utah,UT,327670,596030,251813,740600,310676,515231,560282,865140,883818,562566
Vermont,VT,219262,98974,199239,92698,178573,95369,242820,112704,119395,235791
Virginia,VA,1959532,1725005,1971820,1822522,1981473,1769443,2413568,1962430,2075085,2335395
Washington,WA,1750848,1229216,1755396,1290670,1742718,1221747,2369612,1584651,1530923,2245849
West Virginia,WV,303857,397466,238269,417655,188794,489371,235984,545382,533556,214309
Wisconsin,WI,1677211,1262393,1620985,1410966,1382536,1405284,1630866,1610184,1697626,1668229
Wyoming,WY,82868,164958,69286,170962,55973,174419,73491,193559,192633,69527
